"","tweet","full_text","retweet_count","favorite_count","lang","word_count","bingNeg","bingPos","bingWords","bing","loughNeg","loughPos","loughWords","lough","nrcNeg","nrcPos","nrcWords","nrc","bingRatio","loughRatio","nrcRatio"
"455",516,"RT @krikss: Hundreds of indigenous people began gathering in the Brazilian capital for a 10-day protest camp to defend their land rights an…",2401,0,"en",24,1,0,1,4.16666666319444e-10,2,0,2,4.16666666319444e-10,0,2,2,0.0833333336805556,0.0416666666666667,0.0833333333333333,0.0833333333333333
"456",517,"RT @ScientistRebel1: Over 1,000 scientists in over 25 countries worldwide took disruptive, non-violent actions and engaged in civil disobed…",3545,0,"en",20,2,0,2,4.999999995e-10,2,0,2,4.999999995e-10,1,2,3,0.1000000004,0.1,0.1,0.15
"457",518,"""The Bay du Nord project would involve building a floating platform to drill an estimated resource of 300 million barrels of light crude oil in the Atlantic Ocean""

The world speeds up towards a climate catastrophe, right after the new IPCC report.
https://t.co/r6y16VbsVe",1013,2437,"en",45,2,1,3,0.0222222224345679,1,0,1,2.22222222123457e-10,2,1,3,0.0222222224345679,0.0666666666666667,0.0222222222222222,0.0666666666666667
"458",519,"We urge everyone to join the International Day of Solidarity with Sudan against military oppression through all peaceful means of protest.
We stand in solidarity with the Sudanese people and send our support to fellow activists at Fridays For Future Sudan.
#FFFSolidarityWithSudan https://t.co/RwNy91DZeD",714,2912,"en",45,2,4,6,0.0888888890716049,2,0,2,2.22222222123457e-10,1,3,4,0.0666666668592593,0.133333333333333,0.0444444444444444,0.0888888888888889
"459",520,"RT @antonioguterres: Climate activists are sometimes depicted as dangerous radicals.

But the truly dangerous radicals are the countries th…",10345,0,"en",19,4,0,4,5.26315788919668e-10,2,0,2,5.26315788919668e-10,2,0,2,5.26315788919668e-10,0.210526315789474,0.105263157894737,0.105263157894737
"460",521,"RT @Riseupmovt: Stop funding our destruction. Keeping 1.5°C alive means no new fossil fuels! #FossilBanksNoThanks #StopEACOP #IPCCReport #P…",332,0,"en",19,1,0,1,5.26315788919668e-10,1,0,1,5.26315788919668e-10,1,1,2,0.0526315794182825,0.0526315789473684,0.0526315789473684,0.105263157894737
"461",522,"RT @brandoncwu: New #IPCC Working Group III report/Summary for Policymakers highlights equity and the need for finance to support action in…",224,0,"en",22,0,1,1,0.0454545458677686,0,0,0,4.54545454132231e-10,0,3,3,0.136363636694215,0.0454545454545455,0,0.136363636363636
"462",523,"""several major coal, oil, beef and animal feed-producing nations pressed for changes to suit their economic interests,""

https://t.co/MUjV1BBDlN",598,1950,"en",21,0,1,1,0.0476190480498866,0,0,0,4.76190475736961e-10,0,2,2,0.0952380956235827,0.0476190476190476,0,0.0952380952380952
"463",524,"""Governments have been accused of trying to water down the scientists’ findings, originally due to be published early on Monday but – after delays and disagreements on Sunday – postponed by six hours to later the same day.""

https://t.co/n3VTRzOC6O",637,2117,"en",39,1,0,1,2.56410256278764e-10,4,0,4,2.56410256278764e-10,1,0,1,2.56410256278764e-10,0.0256410256410256,0.102564102564103,0.0256410256410256
"464",525,"When reading the new #IPCC report, keep in mind that science is cautious and this has been watered down by nations in negotiations.
Many seem more focused on giving false hope to those causing the problem rather than telling the blunt truth that would give us a chance to act.",2309,8261,"en",50,3,0,3,1.9999999992e-10,2,0,2,1.9999999992e-10,1,5,6,0.10000000016,0.06,0.04,0.12
"465",526,"RT @antonioguterres: The latest @IPCC_CH report is a litany of broken climate promises.

Some government &amp; business leaders are saying one…",4437,0,"en",21,1,1,2,0.0476190480498866,1,0,1,4.76190475736961e-10,2,0,2,4.76190475736961e-10,0.0952380952380952,0.0476190476190476,0.0952380952380952
"466",527,"""This report from the IPCC is a litany of broken climate promises. It is a file of shame, cataloguing the empty promises that put us firmly on track towards an unlivable world. We are on a fast track to climate disaster"" - @antonioguterres on the #IPCC report released today.",3029,8149,"en",48,3,3,6,0.0625000001822917,2,0,2,2.08333333246528e-10,3,0,3,2.08333333246528e-10,0.125,0.0416666666666667,0.0625
"467",528,"“Many scientists are growing increasingly frustrated, as it produces a conservative and sometimes watered down document that many feel does not reflect the urgency and shocking nature of the threat.”
https://t.co/1mO3pgypmS",995,3122,"en",33,4,0,4,3.03030302846648e-10,3,0,3,3.03030302846648e-10,2,0,2,3.03030302846648e-10,0.121212121212121,0.0909090909090909,0.0606060606060606
"468",529,"Today is overshoot day for Sweden. If everyone lived like we do, the world would have already used up its annual resources today.

For the rest of the year we aren't just stealing the resources from future generations, but also from the present most affected people and areas. https://t.co/4NZsSGytEO",3491,9836,"en",51,1,1,2,0.019607843325644,0,0,0,1.96078431295656e-10,1,4,5,0.0784313727143406,0.0392156862745098,0,0.0980392156862745
"469",530,"""The Horn, East and Central Africa are facing a profoundly alarming hunger crisis. More than 44 million people are in need of humanitarian aid as climate extremes have caused widespread food and water shortages."" https://t.co/CKzmqApESl",1726,4085,"en",37,2,1,3,0.0270270272826881,2,0,2,2.70270270124178e-10,2,4,6,0.108108108319942,0.0810810810810811,0.0540540540540541,0.162162162162162
"470",532,"Wow! The numbers are in from the global #ClimateStrike last week - over 500 000 people from 93 countries on all continents (including Antarctica) joined us and demanded world leaders to prioritise #PeopleNotProfit
We are not going anywhere.
#FridaysForFuture https://t.co/ThnZ0R0bSi",2864,15378,"en",41,0,1,1,0.0243902441344438,0,0,0,2.43902438905413e-10,0,3,3,0.0731707319155265,0.024390243902439,0,0.0731707317073171
"471",533,"RT @Fridays4FutureU: Today #FridaysForFuture Uganda activists have again protested against the East African Crude Oil Pipeline at lake Vict…",275,0,"en",19,2,0,2,5.26315788919668e-10,2,0,2,5.26315788919668e-10,1,0,1,5.26315788919668e-10,0.105263157894737,0.105263157894737,0.0526315789473684
